SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
ACC	EQ	1,997.05	1.69	37,502.06	1.63	32.41
AFFLE	EQ	1,604.00	1.06	22,535.61	2.03	32.30
360ONE	EQ	911.80	2.39	35,840.48	3.55	32.22
UJJIVANSFB	EQ	36.20	5.05	7,004.71	90.09	32.04
HIMATSEIDE	EQ	159.75	4.54	2,008.73	20.18	31.85
SBFC	EQ	93.00	0.26	10,099.79	33.49	31.44
BANKBEES	EQ	528.28	0.35	7,374.75	5.94	31.34
EPACK	EQ	382.85	0.34	3,674.12	8.08	31.12
BALAXI	EQ	67.98	1.46	375.30	45.15	30.81
FACT	EQ	659.95	1.27	42,703.51	4.64	30.62
PHARMABEES	EQ	21.95	2.81	865.56	137.94	30.58
GREAVESCOT	EQ	214.20	0.01	4,979.76	14.19	30.33
PSUBNKBEES	EQ	71.51	2.20	2,590.99	42.05	29.85
ARKADE	EQ	165.00	1.25	3,063.45	18.00	29.72
JMFINANCIL	EQ	99.73	3.74	9,532.62	29.85	29.42
IFCI	EQ	45.39	2.16	12,229.49	65.46	29.29
MANGCHEFER	EQ	183.25	9.72	2,171.79	16.23	29.24
V2RETAIL	BE	1,873.00	3.49	6,478.58	1.53	28.80
SOUTHBANK	EQ	24.21	2.37	6,334.07	118.15	28.40
EDELWEISS	EQ	93.15	2.49	8,810.42	30.09	27.75
LTF	EQ	154.20	1.53	38,470.87	18.07	27.67
POWERMECH	EQ	2,686.00	0.20	8,492.14	1.02	27.58
BFUTILITIE	EQ	784.95	6.21	2,956.72	3.53	27.46
AJANTPHARM	EQ	2,620.00	0.09	32,726.97	1.03	27.37
ORIANA	SM	1,477.40	4.74	3,001.95	1.85	27.20
JUSTDIAL	EQ	836.00	2.55	7,109.52	3.28	27.17
GSFC	EQ	186.20	2.18	7,419.65	14.76	27.15
ASTERDM	EQ	489.05	1.96	24,428.69	5.48	26.52
MOIL	EQ	334.10	0.72	6,798.44	7.86	26.28
CAPACITE	EQ	371.00	2.73	3,138.81	7.08	25.96
VIMTALABS	EQ	1,091.00	8.09	2,425.79	2.42	25.94
FINCABLES	EQ	909.00	0.34	13,902.19	2.85	25.88
LALPATHLAB	EQ	2,507.00	0.39	20,956.45	1.01	25.48
EIDPARRY	EQ	794.35	1.62	14,121.82	3.20	25.46
ACE	EQ	1,299.95	1.84	15,480.22	1.96	25.26
HARIOMPIPE	EQ	385.00	7.15	1,192.24	6.56	24.96
LLOYDSENGG	EQ	60.71	1.35	7,073.54	40.88	24.85
BOMDYEING	EQ	140.55	3.02	2,902.85	17.80	24.85
WHIRLPOOL	EQ	1,077.30	1.25	13,667.90	2.31	24.80
SHAKTIPUMP	BE	997.00	2.89	11,985.00	2.52	24.71
EASEMYTRIP	EQ	12.33	1.07	4,369.85	202.12	24.70
EMBASSY	RR	374.96	0.83	35,542.22	6.56	24.49
SUNDARMFIN	EQ	4,486.10	0.10	49,842.30	0.53	23.96
AEROFLEX	EQ	180.70	3.35	2,336.82	13.33	23.95
TEXRAIL	EQ	143.20	2.87	5,720.37	16.79	23.66
PARAS	EQ	1,010.30	2.18	4,070.87	2.34	23.49
RCF	EQ	130.11	2.06	7,178.01	18.02	23.28
CANFINHOME	EQ	678.55	1.14	9,035.17	3.42	23.24
KARURVYSYA	EQ	215.00	0.96	17,305.24	10.85	23.22
JUNIORBEES	EQ	679.00	0.51	5,761.12	3.41	23.01
APLLTD	EQ	887.95	0.33	17,453.82	2.57	22.97
SYRMA	EQ	469.30	0.59	8,360.96	4.89	22.97
INTELLECT	EQ	688.50	0.80	9,559.94	3.30	22.84
CHOICEIN	EQ	517.00	0.93	10,322.19	4.43	22.81
GMRP&UI	EQ	119.50	2.58	8,542.29	19.01	22.67
PRAKASH	EQ	175.30	5.50	3,139.30	13.20	22.59
DEVYANI	EQ	152.35	0.12	18,377.47	14.85	22.49
BALRAMCHIN	EQ	564.85	1.70	11,395.81	3.97	22.34
KNRCON	EQ	234.49	2.02	6,594.67	9.57	22.20
PVTBANIETF	EQ	25.79	0.35	2,951.07	85.95	22.14
SPARC	EQ	150.15	3.13	4,872.36	14.71	22.13
JINDALSAW	EQ	276.00	1.71	17,650.43	8.08	22.10
BIRLACORPN	EQ	1,144.10	4.58	8,810.18	1.94	22.04
GEPIL	EQ	257.00	2.66	1,727.75	8.38	21.91
JSWHL	EQ	25,772.30	5.00	28,606.29	0.09	21.86
NSLNISP	EQ	36.08	3.00	10,573.63	60.34	21.58
GRAVITA	EQ	1,780.15	0.56	13,139.01	1.21	21.46
TANLA	EQ	481.90	0.79	6,487.21	4.44	21.36
NFL	EQ	83.29	1.03	4,086.03	25.61	21.30
MAHLIFE	EQ	314.40	3.01	4,875.96	6.78	21.15
