Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SEMAC,BE,347.65,5,108.37,0.01,0.05
SHREERAMA,BE,33.32,1.99,444.72,0.14,0.05
ISHAN,SM,1.1,4.76,23.79,4.32,0.05
TIMESGTY,EQ,191.6,4.97,172.31,0.03,0.05
AUSL,ST,28.65,4.95,71.15,0.16,0.05
MID150,EQ,19.76,0.71,3.61,0.24,0.05
BIKEWO,ST,17.4,4.82,22.7,0.26,0.05
96IIFL28,N5,950.53,0.16,363.89,0,0.04
CHETANA,SM,92.9,3.51,189.52,0.05,0.04
PROLIFE,SM,224.55,2.07,91.93,0.02,0.04
SLONE,ST,281,1.17,148.06,0.02,0.04
MANDEEP,ST,21.75,4.82,22.48,0.2,0.04
HECPROJECT,EQ,90.51,3.1,91.76,0.04,0.04
PURVFLEXI,ST,104,0.58,218.22,0.04,0.04
INSPIRE,SM,22,1.15,29.94,0.18,0.04
SUNLITE,SM,112,2.28,121.86,0.04,0.04
MACOBSTECH,SM,169,2.39,165.54,0.02,0.04
LFIC,EQ,174,1.71,52.2,0.02,0.04
865IIFL28,NS,950,0.74,150.35,0,0.04
KCK,ST,40.85,2.64,259.81,0.1,0.04
960IIFLS26,N9,1054,1.44,81.79,0,0.04
VCL,EQ,0.77,5.48,14.15,4.97,0.04
UEL,BE,443.7,4.99,5840.27,0.01,0.04
